Time [s];T_cat [gradC];n_h2 [mol/s];n_ch4 [mol/s];n_h2_res [mol/s];m_DE [kg/h];Pel [W]
0;400.3;0.00701;0.00172;0.000054;0.0021249;651
2;400.6;0.00701;0.00173;0.000054;0.0019831;630
4;400.9;0.00701;0.00173;0.000054;0;574
6;401;0.00701;0.00173;0.000054;0;427
8;401.2;0.00701;0.00173;0.000054;0;350
10;401.2;0.00701;0.00173;0.000054;0;350
12;401.2;0.00701;0.00173;0.000054;0;350
14;401.2;0.00701;0.00173;0.000054;0;350
16;401.2;0.00701;0.00173;0.000054;0;476
18;401;0.00701;0.00172;0.000054;0;490
20;400.9;0.00701;0.00173;0.000054;0;490
22;400.8;0.00701;0.00173;0.000054;0;490
24;400.7;0.00701;0.00173;0.000054;0;490
26;400.5;0.00701;0.00173;0.000054;0;364
28;400.4;0.00701;0.00173;0.000054;0;350
30;400.3;0.00701;0.00173;0.000054;0;350
32;400.2;0.00701;0.00173;0.000054;0;378
34;400.4;0.00701;0.00172;0.000054;0;490
36;400.7;0.00701;0.00173;0.000054;0;490
38;401.1;0.00701;0.00172;0.000054;0.0001418;490
40;401.5;0.00701;0.00173;0.000054;0.0026473;490
42;401.8;0.00701;0.00173;0.000054;0.0020989;462
44;402.1;0.00701;0.00173;0.000054;0.0000756;350
46;402.3;0.00701;0.00173;0.000054;0.0010187;350
48;402.5;0.00701;0.00173;0.000054;0;350
50;402.6;0.00701;0.00173;0.000054;0;350
52;402.6;0.00701;0.00172;0.000054;0;434
54;402.6;0.00701;0.00172;0.000054;0;490
56;402.6;0.00701;0.00173;0.000054;0;490
58;402.5;0.00701;0.00173;0.000054;0;448
60;402.3;0.00701;0.00173;0.000054;0;420
62;402.2;0.00701;0.00173;0.000054;0;308
64;402;0.00701;0.00173;0.000054;0;224
66;401.9;0.00701;0.00173;0.000054;0;210
68;401.8;0.00701;0.00173;0.000054;0;210
70;401.6;0.00701;0.00173;0.000054;0;210
72;401.4;0.00701;0.00172;0.000054;0;196
74;401.3;0.00701;0.00173;0.000054;0;266
76;401.4;0.00701;0.00173;0.000054;0;329
78;401.6;0.00701;0.00173;0.000054;0;322
80;402;0.00701;0.00173;0.000054;0;329
82;402.4;0.00701;0.00173;0.000054;0;308
84;402.7;0.00701;0.00173;0.000054;0.0003025;259
86;403;0.00701;0.00173;0.000054;0.0002482;161
88;403.2;0.00701;0.00173;0.000054;0;175
90;403.4;0.00701;0.00172;0.000054;0.0000402;161
92;403.5;0.00701;0.00173;0.000054;0;161
94;403.5;0.00701;0.00173;0.000054;0;238
96;403.5;0.00701;0.00173;0.000054;0;287
98;403.5;0.00701;0.00173;0.000054;0;315
100;403.4;0.00701;0.00173;0.000054;0;280
102;403.2;0.00701;0.00173;0.000054;0;308
104;403.1;0.00701;0.00173;0.000054;0;196
106;402.9;0.00701;0.00172;0.000054;0;161
108;402.8;0.00701;0.00172;0.000054;0;140
110;402.7;0.00701;0.00173;0.000054;0;147
112;402.5;0.00701;0.00173;0.000054;0;147
114;402.4;0.00701;0.00173;0.000054;0;224
116;402.4;0.00701;0.00173;0.000054;0;301
118;402.6;0.00701;0.00173;0.000054;0;280
120;402.9;0.00701;0.00173;0.000054;0;301
122;403.3;0.00701;0.00173;0.000054;0.0006193;280
124;403.6;0.00701;0.00173;0.000054;0.0023636;196
126;404;0.00701;0.00173;0.000054;0.0014844;161
128;404.3;0.00701;0.00173;0.000054;0.0017302;140
130;404.5;0.00701;0.00173;0.000054;0.0004255;161
132;404.6;0.00701;0.00173;0.000054;0;210
134;404.7;0.00701;0.00173;0.000054;0;301
136;404.7;0.00701;0.00173;0.000054;0;280
138;404.7;0.00701;0.00173;0.000054;0;287
140;404.6;0.00701;0.00173;0.000054;0;294
142;404.4;0.00701;0.00173;0.000054;0;210
144;404.3;0.00701;0.00173;0.000054;0;175
146;404.1;0.00701;0.00173;0.000054;0;140
148;403.9;0.00701;0.00173;0.000054;0;175
150;403.9;0.00701;0.00173;0.000054;0;224
152;403.6;0.00701;0.00173;0.000054;0;322
154;403.4;0.00701;0.00173;0.000054;0;287
156;403.2;0.00701;0.00173;0.000054;0;315
158;403.1;0.00701;0.00173;0.000054;0;301
160;403;0.00701;0.00173;0.000054;0;224
162;403.2;0.00701;0.00173;0.000054;0;168
164;403.5;0.00701;0.00173;0.000054;0;168
166;403.8;0.00701;0.00173;0.000054;0;175
168;404.2;0.00701;0.00173;0.000054;0;168
170;404.5;0.00701;0.00173;0.000054;0;315
172;404.8;0.00701;0.00173;0.000054;0.0000449;315
174;405.1;0.00701;0.00173;0.000054;0.0002978;315
176;405.2;0.00701;0.00173;0.000054;0;315
178;405.2;0.00701;0.00173;0.000054;0;322
180;405.2;0.00701;0.00173;0.000054;0;189
182;405.2;0.00701;0.00173;0.000054;0;175
184;405.1;0.00701;0.00173;0.000054;0;189
186;405.1;0.00701;0.00173;0.000054;0;182
188;404.8;0.00701;0.00173;0.000054;0;196
190;404.7;0.00701;0.00173;0.000054;0;238
192;404.5;0.00701;0.00173;0.000054;0;350
194;404.3;0.00701;0.00173;0.000054;0;315
196;404;0.00701;0.00173;0.000054;0;350
198;403.9;0.00701;0.00173;0.000054;0;322
200;403.7;0.00701;0.00173;0.000054;0;280
202;403.5;0.00701;0.00173;0.000054;0;182
204;403.6;0.00701;0.00173;0.000054;0;189
206;404;0.00701;0.00173;0.000054;0;210
208;404.3;0.00701;0.00173;0.000054;0;189
210;404.7;0.00701;0.00173;0.000054;0;224
212;405;0.00701;0.00173;0.000054;0.000364;336
214;405.3;0.00701;0.00173;0.000054;0.0004325;350
216;405.6;0.00701;0.00173;0.000054;0.0005649;329
218;405.6;0.00701;0.00173;0.000054;0;336
220;405.7;0.00701;0.00173;0.000054;0;336
222;405.8;0.00701;0.00173;0.000054;0;196
224;405.7;0.00701;0.00173;0.000054;0;210
226;405.6;0.00701;0.00173;0.000054;0;203
228;405.5;0.00701;0.00173;0.000054;0;210
230;405.4;0.00701;0.00173;0.000054;0;315
232;405.2;0.00701;0.00173;0.000054;0;343
234;405;0.00701;0.00173;0.000054;0;350
236;404.9;0.00701;0.00173;0.000054;0;343
238;404.7;0.00701;0.00173;0.000054;0;350
240;404.5;0.00701;0.00173;0.000054;0;231
242;404.3;0.00701;0.00173;0.000054;0;203
244;404;0.00701;0.00173;0.000054;0;210
246;403.9;0.00701;0.00173;0.000054;0;203
248;404.1;0.00701;0.00173;0.000054;0;210
250;404.4;0.00701;0.00173;0.000054;0;294
252;404.7;0.00701;0.00173;0.000054;0;350
254;405;0.00701;0.00173;0.000054;0;350
256;405.3;0.00701;0.00173;0.000054;0;350
258;405.5;0.00701;0.00173;0.000054;0;350
260;405.7;0.00701;0.00173;0.000054;0;259
262;405.7;0.00701;0.00173;0.000054;0;203
264;405.8;0.00701;0.00173;0.000054;0;210
266;405.7;0.00701;0.00173;0.000054;0;203
268;405.7;0.00701;0.00173;0.000054;0;280
270;405.5;0.00701;0.00173;0.000054;0;343
272;405.5;0.00701;0.00173;0.000054;0;343
274;405.2;0.00701;0.00173;0.000054;0;350
276;405.1;0.00701;0.00173;0.000054;0;343
278;404.9;0.00701;0.00173;0.000054;0;294
280;404.7;0.00701;0.00173;0.000054;0;203
282;404.5;0.00701;0.00173;0.000054;0;210
284;404.3;0.00701;0.00173;0.000054;0;210
286;404.2;0.00701;0.00173;0.000054;0;210
288;404.3;0.00701;0.00173;0.000054;0;210
290;404.6;0.00701;0.00173;0.000054;0;308
292;404.9;0.00701;0.00173;0.000054;0;350
294;405.3;0.00701;0.00173;0.000054;0;343
296;405.5;0.00701;0.00173;0.000054;0.0007138;343
298;405.9;0.00701;0.00173;0.000054;0;350
300;406.1;0.00701;0.00173;0.000054;0;231
302;406.2;0.00701;0.00173;0.000054;0;210
304;406.2;0.00701;0.00173;0.000054;0;196
306;406.2;0.00701;0.00173;0.000054;0;196
308;406;0.00701;0.00173;0.000054;0;238
310;405.9;0.00701;0.00173;0.000054;0;336
312;405.9;0.00701;0.00173;0.000054;0;350
314;405.7;0.00701;0.00173;0.000054;0;343
316;405.4;0.00701;0.00173;0.000054;0;343
318;405.2;0.00701;0.00173;0.000054;0;315
320;405;0.00701;0.00173;0.000054;0;196
322;404.8;0.00701;0.00173;0.000054;0;210
324;404.6;0.00701;0.00173;0.000054;0;196
326;404.4;0.00701;0.00173;0.000054;0;210
328;404.2;0.00701;0.00173;0.000054;0;203
330;404.1;0.00701;0.00173;0.000054;0;266
332;404.3;0.00701;0.00173;0.000054;0;350
334;404.6;0.00701;0.00173;0.000054;0;336
336;405.1;0.00701;0.00173;0.000054;0;350
338;405.4;0.00701;0.00173;0.000054;0;336
340;405.6;0.00701;0.00173;0.000054;0.0012055;280
342;406;0.00701;0.00173;0.000054;0;203
344;406;0.00701;0.00173;0.000054;0;196
346;406.2;0.00701;0.00173;0.000054;0;210
348;406.3;0.00701;0.00173;0.000054;0;189
350;406.1;0.00701;0.00173;0.000054;0;350
352;406.1;0.00701;0.00173;0.000054;0;336
354;405.9;0.00701;0.00173;0.000054;0;336
356;405.7;0.00701;0.00173;0.000054;0;343
358;405.5;0.00701;0.00173;0.000054;0;336
360;405.3;0.00701;0.00173;0.000054;0;210
362;405.1;0.00701;0.00173;0.000054;0;189
364;404.9;0.00701;0.00173;0.000054;0;210
366;404.7;0.00701;0.00173;0.000054;0;189
368;404.6;0.00701;0.00173;0.000054;0;196
370;404.3;0.00701;0.00173;0.000054;0;266
372;404;0.00701;0.00173;0.000054;0;336
374;403.8;0.00701;0.00173;0.000054;0;350
376;403.7;0.00701;0.00173;0.000054;0;336
378;403.8;0.00701;0.00173;0.000054;0;350
380;404.1;0.00701;0.00173;0.000054;0;280
382;404.4;0.00701;0.00173;0.000054;0;189
384;404.8;0.00701;0.00173;0.000054;0;203
386;405.1;0.00701;0.00173;0.000054;0;189
388;405.3;0.00701;0.00173;0.000054;0;210
390;405.5;0.00701;0.00173;0.000054;0;217
392;405.5;0.00701;0.00173;0.000054;0;350
394;405.6;0.00701;0.00173;0.000054;0;329
396;405.5;0.00701;0.00173;0.000054;0;336
398;405.4;0.00701;0.00173;0.000054;0;343
400;405.4;0.00701;0.00173;0.000054;0;301
402;405.2;0.00701;0.00173;0.000054;0;210
404;405;0.00701;0.00173;0.000054;0;189
406;404.8;0.00701;0.00173;0.000054;0;210
408;404.6;0.00701;0.00173;0.000054;0;189
410;404.4;0.00701;0.00173;0.000054;0;189
412;404;0.00701;0.00173;0.000054;0;315
414;403.8;0.00701;0.00173;0.000054;0;329
416;403.7;0.00701;0.00173;0.000054;0;350
418;403.5;0.00701;0.00173;0.000054;0;329
420;403.5;0.00701;0.00173;0.000054;0;350
422;403.8;0.00701;0.00173;0.000054;0;217
424;404.1;0.00701;0.00173;0.000054;0;196
426;404.4;0.00701;0.00173;0.000054;0;203
428;404.8;0.00701;0.00173;0.000054;0;189
430;404.9;0.00701;0.00173;0.000054;0;210
432;405.1;0.00701;0.00173;0.000054;0;273
434;405.3;0.00701;0.00173;0.000054;0;350
436;405.4;0.00701;0.00173;0.000054;0;329
438;405.3;0.00701;0.00173;0.000054;0;343
440;405.3;0.00701;0.00173;0.000054;0;336
442;405.1;0.00701;0.00173;0.000054;0;238
444;404.9;0.00701;0.00173;0.000054;0;210
446;404.8;0.00701;0.00173;0.000054;0;189
