Time [s];T_cat [gradC];n_h2 [mol/s];n_ch4 [mol/s];n_h2_res [mol/s];m_DE [kg/h];Pel [W]
0;0;0;0;0;0;0
2;0;0;0;0;0;0
4;0;0;0;0;0;0
6;0;0;0;0;0;0
8;0;0;0;0;0;0
10;0;0;0;0;0;0
12;0;0;0;0;0;0
14;0;0;0;0;0;0
16;0;0;0;0;0;0
18;0;0;0;0;0;0
20;0;0;0;0;0;0
22;0;0;0;0;0;0
24;0;0;0;0;0;0
26;0;0;0;0;0;0
28;0;0;0;0;0;0
30;0;0;0;0;0;0
32;15.2;0;0;0;0;0
34;15.2;0;0;0;0;0
36;15.2;0;0;0;0;0
38;15.2;0;0;0;0;0
40;15.2;0;0;0;0;0
42;15.2;0;0;0;0.0016285;112
44;15.2;0;0;0;0;252
46;15.2;0;0;0;0;392
48;15.2;0;0;0;0;532
50;15.2;0;0;0;0;672
52;15.2;0;0;0;0;700
54;15.2;0;0;0;0;700
56;15.2;0;0;0;0;700
58;15.2;0;0;0;0;700
60;15.2;0;0;0;0;700
62;15.2;0;0;0;0;700
64;15.1;0;0;0;0;700
66;15.2;0;0;0;0;700
68;15.2;0;0;0;0;700
70;15.1;0;0;0;0;700
72;15.2;0;0;0;0;700
74;15.2;0;0;0;0.0002505;700
76;15.2;0;0;0;0;700
78;15.2;0;0;0;0;700
80;15.2;0;0;0;0;700
82;15.2;0;0;0;0;700
84;15.2;0;0;0;0;700
86;15.2;0;0;0;0;700
88;15.2;0;0;0;0;700
90;15.2;0;0;0;0;700
92;15.2;0;0;0;0;700
94;15.2;0;0;0;0;700
96;15.2;0;0;0;0;700
98;15.2;0;0;0;0;700
100;15.2;0;0;0;0;700
102;15.2;0;0;0;0;700
104;15.2;0;0;0;0;700
106;15.2;0;0;0;0.0003593;700
108;15.2;0;0;0;0;700
110;15.2;0;0;0;0;700
112;15.2;0;0;0;0;700
114;15.2;0;0;0;0;700
116;15.2;0;0;0;0.0000804;700
118;15.2;0;0;0;0;700
120;15.2;0;0;0;0;700
122;15.2;0;0;0;0;700
124;15.2;0;0;0;0;700
126;15.1;0;0;0;0;700
128;15.2;0;0;0;0;700
130;15.2;0;0;0;0;700
132;15.1;0;0;0;0;700
134;15.2;0;0;0;0;700
136;15.1;0;0;0;0;700
138;15.2;0;0;0;0;700
140;15.2;0;0;0;0;700
142;15.2;0;0;0;0;700
144;15.2;0;0;0;0;700
146;15.2;0;0;0;0;700
148;15.2;0;0;0;0;700
150;15.3;0;0;0;0;700
152;15.1;0;0;0;0;700
154;15.2;0;0;0;0;700
156;15.3;0;0;0;0;700
158;15.3;0;0;0;0;700
160;15.3;0;0;0;0.000208;700
162;15.3;0;0;0;0;700
164;15.2;0;0;0;0;700
166;15.2;0;0;0;0;700
168;15.3;0;0;0;0;700
170;15.2;0;0;0;0;700
172;15.2;0;0;0;0;700
174;15.3;0;0;0;0;700
176;15.3;0;0;0;0;700
178;15.3;0;0;0;0;700
180;15.4;0;0;0;0;700
182;15.4;0;0;0;0;700
184;15.3;0;0;0;0;700
186;15.3;0;0;0;0;700
188;15.4;0;0;0;0;700
190;15.5;0;0;0;0;700
192;15.4;0;0;0;0.0003947;700
194;15.5;0;0;0;0.0000922;700
196;15.5;0;0;0;0.0000095;700
198;15.4;0;0;0;0;700
200;15.4;0;0;0;0;700
202;15.5;0;0;0;0;700
204;15.6;0;0;0;0;700
