Time [s];T_cat [gradC];n_h2 [mol/s];n_ch4 [mol/s];n_h2_res [mol/s];m_DE [kg/h];Pel [W]
0;160;0;0;0;0;1400
2;160.1;0;0;0;0;1400
4;160.1;0;0;0;0.0001655;1400
6;160.1;0;0;0;0.0000851;1400
8;160.3;0;0;0;0;1400
10;160.4;0;0;0;0;1400
12;160.4;0;0;0;0;1400
14;160.5;0;0;0;0;1400
16;160.6;0;0;0;0;1400
18;160.7;0;0;0;0;1400
20;160.7;0;0;0;0;1400
22;160.9;0;0;0;0;1400
24;160.9;0;0;0;0;1400
26;161;0;0;0;0.0000047;1400
28;161.1;0;0;0;0.0001087;1400
30;161.1;0;0;0;0;1400
32;161.2;0;0;0;0;1400
34;161.4;0;0;0;0;1400
36;161.4;0;0;0;0;1400
38;161.5;0;0;0;0.0001584;1400
40;161.6;0;0;0;0;1400
42;161.7;0;0;0;0;1400
44;161.6;0;0;0;0.0005365;1400
46;161.9;0;0;0;0;1400
48;161.9;0;0;0;0.0003687;1400
50;162.1;0;0;0;0.000494;1400
52;162.1;0;0;0;0;1400
54;162.1;0;0;0;0;1400
56;162.3;0;0;0;0.0003002;1400
58;162.3;0;0;0;0.0002104;1400
60;162.3;0;0;0;0.0005295;1400
62;162.5;0;0;0;0.0004491;1400
64;162.7;0;0;0;0;1400
66;162.6;0;0;0;0;1400
68;162.7;0;0;0;0;1400
70;162.9;0;0;0;0;1400
72;163;0;0;0;0;1400
74;162.9;0;0;0;0;1400
76;163;0;0;0;0;1400
78;163.1;0;0;0;0.0001442;1400
80;163.1;0;0;0;0;1400
82;163.2;0;0;0;0;1400
84;163.3;0;0;0;0.0000189;1400
86;163.5;0;0;0;0.0001111;1400
88;163.5;0;0;0;0;1400
90;163.7;0;0;0;0;1400
92;163.6;0;0;0;0;1400
94;163.7;0;0;0;0;1400
96;163.8;0;0;0;0;1400
98;163.9;0;0;0;0;1400
100;163.9;0;0;0;0.0001985;1386
102;164.2;0;0;0;0.0001016;1260
104;164.1;0;0;0;0;1120
106;164.2;0;0;0;0;980
108;164.3;0;0;0;0;840
110;164.4;0;0;0;0.0000709;728
112;164.6;0;0;0;0;700
114;164.6;0;0;0;0;700
116;164.7;0;0;0;0.0001324;784
118;164.7;0;0;0;0;924
120;164.8;0;0;0;0;1064
122;164.9;0;0;0;0.0001678;1204
124;165.1;0;0;0;0.0002435;1344
126;165;0;0;0;0;1400
128;165.1;0;0;0;0;1400
130;165.2;0;0;0;0.0001087;1400
132;165.2;0;0;0;0.000234;1400
134;165.5;0;0;0;0.0001064;1400
136;165.5;0;0;0;0;1400
138;165.6;0;0;0;0.0002836;1400
