Time [s];T_cat [gradC];n_h2 [mol/s];n_ch4 [mol/s];n_h2_res [mol/s];m_DE [kg/h];Pel [W]
0;598.7;0.00371;0;0;0;140
2;596.6;0.00371;0;0;0;126
4;594.6;0.00371;0;0;0;70
6;592.5;0.00371;0;0;0;42
8;590.4;0.00371;0;0;0;0
10;588.4;0.00371;0;0;0;0
12;586.3;0.00371;0;0;0;0
14;584.3;0.00371;0;0;0;0
16;582.3;0.00371;0;0;0;0
18;580.3;0.00371;0;0;0;0
20;578.3;0.00371;0;0;0;0
22;576.3;0.00371;0;0;0;0
24;574.3;0.00371;0;0;0;0
26;572.3;0.00371;0;0;0;0
28;570.4;0.00371;0;0;0;0
30;568.4;0.00371;0;0;0;0
32;566.5;0.00371;0;0;0;0
34;564.6;0.00371;0;0;0;0
36;562.6;0.00371;0;0;0;0
38;560.7;0.00371;0;0;0;0
40;558.8;0.00371;0;0;0;0
42;556.9;0.00371;0;0;0;0
44;555.1;0.00371;0;0;0;0
46;553.2;0.00371;0;0;0;0
48;551.3;0.00371;0;0;0;0
50;549.5;0.00371;0;0;0;0
52;547.6;0.00371;0;0;0;0
54;545.8;0.00371;0;0;0;0
56;544;0.00371;0;0;0;0
58;542.2;0.00371;0;0;0;0
60;540.4;0.00371;0;0;0;0
62;538.6;0.00371;0;0;0;0
64;536.8;0.00371;0;0;0;0
66;535;0.00371;0;0;0;0
68;533.3;0.00371;0;0;0;0
70;531.5;0.00371;0;0;0;0
72;529.8;0.00371;0;0;0;0
74;528.1;0.00371;0;0;0;0
76;526.3;0.00371;0;0;0;0
78;524.6;0.00371;0;0;0;0
80;522.9;0.00371;0;0;0;0
82;521.2;0.00371;0;0;0;0
84;519.6;0.00371;0;0;0;0
86;517.9;0.00371;0;0;0;0
88;516.2;0.00371;0;0;0;0
90;514.6;0.00371;0;0;0;0
92;512.9;0.00371;0;0;0;0
94;511.3;0.00371;0;0;0;0
96;509.7;0.00371;0;0;0;0
98;508.1;0.00371;0;0;0;0
100;506.5;0.00371;0;0;0;0
102;504.9;0.00371;0;0;0;0
104;503.3;0.00371;0;0;0;0
106;501.7;0.00371;0;0;0;0
108;500.2;0.00371;0;0;0;0
110;498.6;0.00371;0;0;0;0
112;497.1;0.00371;0;0;0;0
114;495.6;0.00371;0;0;0;0
116;494;0.00371;0;0;0;0
118;492.5;0.00371;0;0;0;0
120;491;0.00371;0;0;0;0
122;489.5;0.00371;0;0;0;0
124;488.1;0.00371;0;0;0;0
126;486.6;0.00371;0;0;0;0
128;485.1;0.00371;0;0;0;0
130;483.7;0.00371;0;0;0;0
132;482.2;0.00371;0;0;0;0
134;480.8;0.00371;0;0;0;0
136;479.4;0.00371;0;0;0;0
138;478;0.00371;0;0;0;0
140;476.6;0.00371;0;0;0;0
