Time [s];T_cat [gradC];n_h2 [mol/s];n_ch4 [mol/s];n_h2_res [mol/s];m_DE [kg/h];Pel [W]
0;446;0.0198;0.0047;0.000299;0.428;350
2;446;0.0198;0.0047;0.000299;0.428;350
4;446;0.0199;0.0047;0.000299;0.856;350
6;446;0.0199;0.0048;0.0003;0.845;350
8;447;0.02;0.0048;0.000301;0.86;350
10;447;0.0201;0.0048;0.000302;0.87;350
12;448;0.0201;0.0048;0.000303;0.869;350
14;448;0.0202;0.0048;0.000304;0.869;350
16;448;0.0202;0.0048;0.000305;0.872;350
18;449;0.0203;0.0049;0.000306;0.877;350
20;449;0.0204;0.0049;0.000306;0.884;350
22;449;0.0204;0.0049;0.000307;0.883;350
24;449;0.0205;0.0049;0.000308;0.889;350
26;450;0.0206;0.0049;0.000309;0.891;350
28;450;0.0206;0.0049;0.00031;0.892;350
30;449;0.0207;0.0050;0.000311;0.896;350
32;449;0.0207;0.0050;0.000312;0.894;350
34;449;0.0208;0.0050;0.000313;0.897;350
36;449;0.0209;0.0050;0.000314;0.895;350
38;449;0.0209;0.0050;0.000315;0.892;350
40;448;0.021;0.0050;0.000316;0.894;350
42;448;0.021;0.0051;0.000317;0.891;350
44;448;0.0211;0.0051;0.000318;0.891;350
46;448;0.0212;0.0051;0.000318;0.888;350
48;448;0.0212;0.0051;0.000319;0.883;350
50;447;0.0213;0.0051;0.00032;0.882;350
52;447;0.0214;0.0051;0.000321;0.879;350
54;447;0.0214;0.0052;0.000322;0.883;350
56;447;0.0215;0.0052;0.000323;0.882;350
58;447;0.0215;0.0052;0.000324;0.88;350
60;447;0.0216;0.0052;0.000325;0.882;350
62;447;0.0217;0.0052;0.000326;0.881;350
64;447;0.0217;0.0052;0.000327;0.885;350
66;447;0.0218;0.0053;0.000328;0.885;350
68;447;0.0218;0.0053;0.000328;0.884;350
70;447;0.0219;0.0053;0.000329;0.887;350
72;447;0.022;0.0053;0.00033;0.884;350
74;447;0.022;0.0053;0.000331;0.888;350
76;447;0.0221;0.0053;0.000332;0.885;350
78;447;0.0221;0.0053;0.000333;0.886;350
80;447;0.0222;0.0054;0.000334;0.892;350
82;447;0.0223;0.0054;0.000335;0.892;350
84;447;0.0223;0.0054;0.000336;0.896;350
86;447;0.0224;0.0054;0.000337;0.899;350
88;447;0.0225;0.0054;0.000338;0.899;350
90;447;0.0225;0.0055;0.000339;0.903;350
92;448;0.0226;0.0055;0.00034;0.902;350
94;448;0.0226;0.0055;0.00034;0.907;350
96;448;0.0227;0.0055;0.000341;0.908;350
98;448;0.0228;0.0055;0.000342;0.909;350
100;448;0.0228;0.0055;0.000343;0.912;350
102;448;0.0229;0.0056;0.000344;0.912;350
104;448;0.0229;0.0056;0.000345;0.916;350
106;449;0.023;0.0056;0.000346;0.917;350
108;449;0.0231;0.0056;0.000347;0.919;350
110;449;0.0231;0.0056;0.000348;0.924;350
112;449;0.0232;0.0056;0.000349;0.927;350
114;449;0.0233;0.0057;0.00035;0.932;350
116;450;0.0233;0.0057;0.00035;0.933;350
118;450;0.0234;0.0057;0.000351;0.935;350
120;450;0.0234;0.0057;0.000352;0.94;350
122;450;0.0235;0.0057;0.000353;0.94;350
124;450;0.0236;0.0057;0.000354;0.945;350
