Time;Day-Ahead-price [Euro/MWh]
21-07-2020 00:00;31.38
21-07-2020 01:00;27.85
21-07-2020 02:00;27.08
21-07-2020 03:00;26.95
21-07-2020 04:00;26.98
21-07-2020 05:00;28.05
21-07-2020 06:00;35.84
21-07-2020 07:00;39.07
21-07-2020 08:00;38.28
21-07-2020 09:00;35.25
21-07-2020 10:00;27.79
21-07-2020 11:00;26.17
21-07-2020 12:00;26.31
21-07-2020 13:00;24.83
21-07-2020 14:00;22.46
21-07-2020 15:00;24.01
21-07-2020 16:00;24.75
21-07-2020 17:00;28.1
21-07-2020 18:00;38.07
21-07-2020 19:00;42.74
21-07-2020 20:00;41.82
21-07-2020 21:00;40.48
21-07-2020 22:00;39.73
21-07-2020 23:00;37.13
22-07-2020 00:00;33.31
22-07-2020 01:00;28.39
22-07-2020 02:00;27.17
22-07-2020 03:00;26.07
22-07-2020 04:00;26.05
22-07-2020 05:00;28.78
22-07-2020 06:00;35.18
22-07-2020 07:00;39.4
22-07-2020 08:00;38.9
22-07-2020 09:00;37.67
22-07-2020 10:00;34.44
22-07-2020 11:00;32.31
22-07-2020 12:00;29.5
22-07-2020 13:00;28.19
22-07-2020 14:00;26.97
22-07-2020 15:00;29.0
22-07-2020 16:00;31.69
22-07-2020 17:00;38.83
22-07-2020 18:00;42.19
22-07-2020 19:00;45.74
22-07-2020 20:00;44.34
22-07-2020 21:00;41.96
22-07-2020 22:00;41.44
22-07-2020 23:00;36.92
23-07-2020 00:00;35.96
23-07-2020 01:00;32.98
23-07-2020 02:00;31.0
23-07-2020 03:00;29.86
23-07-2020 04:00;28.99
23-07-2020 05:00;31.43
23-07-2020 06:00;40.33
23-07-2020 07:00;45.89
23-07-2020 08:00;39.36
23-07-2020 09:00;37.67
23-07-2020 10:00;33.92
23-07-2020 11:00;30.97
23-07-2020 12:00;30.76
23-07-2020 13:00;29.25
23-07-2020 14:00;27.9
23-07-2020 15:00;29.69
23-07-2020 16:00;30.93
23-07-2020 17:00;38.19
23-07-2020 18:00;42.86
23-07-2020 19:00;45.23
23-07-2020 20:00;43.64
23-07-2020 21:00;42.09
23-07-2020 22:00;41.69
23-07-2020 23:00;36.0
24-07-2020 00:00;31.72
24-07-2020 01:00;25.63
24-07-2020 02:00;23.94
24-07-2020 03:00;22.94
24-07-2020 04:00;23.71
24-07-2020 05:00;25.22
24-07-2020 06:00;30.09
24-07-2020 07:00;36.14
24-07-2020 08:00;39.95
24-07-2020 09:00;39.83
24-07-2020 10:00;40.02
24-07-2020 11:00;36.04
24-07-2020 12:00;29.57
24-07-2020 13:00;26.04
24-07-2020 14:00;24.2
24-07-2020 15:00;24.01
24-07-2020 16:00;23.85
24-07-2020 17:00;26.75
