Time;Day-Ahead-price [Euro/MWh]
01-07-2020 00:00;23.92
01-07-2020 01:00;25.04
01-07-2020 02:00;25.59
01-07-2020 03:00;25.03
01-07-2020 04:00;24.78
01-07-2020 05:00;25.89
01-07-2020 06:00;33.75
01-07-2020 07:00;37.97
01-07-2020 08:00;39.99
01-07-2020 09:00;38.29
01-07-2020 10:00;37.06
01-07-2020 11:00;36.14
01-07-2020 12:00;28.4
01-07-2020 13:00;24.16
01-07-2020 14:00;25
01-07-2020 15:00;26.41
01-07-2020 16:00;27.17
01-07-2020 17:00;32.91
01-07-2020 18:00;37.37
01-07-2020 19:00;43.29
01-07-2020 20:00;40.8
01-07-2020 21:00;40.12
01-07-2020 22:00;40.25
01-07-2020 23:00;37.91
02-07-2020 00:00;34.53
02-07-2020 01:00;30.91
02-07-2020 02:00;28.38
02-07-2020 03:00;27.2
02-07-2020 04:00;27.9
02-07-2020 05:00;30.19
02-07-2020 06:00;38.96
02-07-2020 07:00;42.84
02-07-2020 08:00;47.3
02-07-2020 09:00;41.69
02-07-2020 10:00;42.14
02-07-2020 11:00;41.59
02-07-2020 12:00;39.47
02-07-2020 13:00;38.33
02-07-2020 14:00;35.94
02-07-2020 15:00;35.06
02-07-2020 16:00;33.92
02-07-2020 17:00;38.87
02-07-2020 18:00;46
02-07-2020 19:00;52.65
02-07-2020 20:00;47.91
02-07-2020 21:00;45.33
02-07-2020 22:00;46
02-07-2020 23:00;40.82
03-07-2020 00:00;40.46
03-07-2020 01:00;35
03-07-2020 02:00;32.57
03-07-2020 03:00;31.27
03-07-2020 04:00;29.9
03-07-2020 05:00;30.87
03-07-2020 06:00;39.99
03-07-2020 07:00;47.1
03-07-2020 08:00;49.95
03-07-2020 09:00;43.44
03-07-2020 10:00;38.95
03-07-2020 11:00;37.32
03-07-2020 12:00;34.05
03-07-2020 13:00;28.88
03-07-2020 14:00;25.73
03-07-2020 15:00;24.95
03-07-2020 16:00;24.22
03-07-2020 17:00;31.22
03-07-2020 18:00;37.24
03-07-2020 19:00;38.82
03-07-2020 20:00;36.97
03-07-2020 21:00;35.25
03-07-2020 22:00;35.02
03-07-2020 23:00;29.18
04-07-2020 00:00;27.19
04-07-2020 01:00;24.28
04-07-2020 02:00;21.07
04-07-2020 03:00;14.86
04-07-2020 04:00;16.15
04-07-2020 05:00;15.52
04-07-2020 06:00;14.46
04-07-2020 07:00;18.56
04-07-2020 08:00;19.2
04-07-2020 09:00;2.41
04-07-2020 10:00;1.47
04-07-2020 11:00;0.38
04-07-2020 12:00;0.02
04-07-2020 13:00;-4.71
04-07-2020 14:00;0.91
04-07-2020 15:00;0.29
04-07-2020 16:00;13.61
04-07-2020 17:00;21.95
04-07-2020 18:00;26.81
04-07-2020 19:00;28.03
04-07-2020 20:00;27.58
04-07-2020 21:00;26.73
04-07-2020 22:00;28
04-07-2020 23:00;24.91
05-07-2020 00:00;11.21
05-07-2020 01:00;2.19
05-07-2020 02:00;0.08
05-07-2020 03:00;-0.05
05-07-2020 04:00;-3.82
05-07-2020 05:00;-13.5
05-07-2020 06:00;-14.91
05-07-2020 07:00;-13.45
05-07-2020 08:00;-13.87
05-07-2020 09:00;-14.54
05-07-2020 10:00;-17.01
05-07-2020 11:00;-26.93
05-07-2020 12:00;-63.02
05-07-2020 13:00;-64.55
05-07-2020 14:00;-64.99
05-07-2020 15:00;-64.96
05-07-2020 16:00;-64.59
05-07-2020 17:00;-36.97
05-07-2020 18:00;-4.44
05-07-2020 19:00;1.49
05-07-2020 20:00;19.17
05-07-2020 21:00;25.94
05-07-2020 22:00;30.24
05-07-2020 23:00;23.19
06-07-2020 00:00;19.9
06-07-2020 01:00;7.71
06-07-2020 02:00;6.45
06-07-2020 03:00;3.37
06-07-2020 04:00;3.23
06-07-2020 05:00;5.61
06-07-2020 06:00;20.42
06-07-2020 07:00;28.27
06-07-2020 08:00;27.97
06-07-2020 09:00;21.89
06-07-2020 10:00;1.49
06-07-2020 11:00;1.1
06-07-2020 12:00;1.25
06-07-2020 13:00;0.05
06-07-2020 14:00;-3.05
06-07-2020 15:00;-2.97
06-07-2020 16:00;-0.02
06-07-2020 17:00;1.23
06-07-2020 18:00;27.96
06-07-2020 19:00;34.22
06-07-2020 20:00;34.51
06-07-2020 21:00;35.31
06-07-2020 22:00;35.94
06-07-2020 23:00;30.94
07-07-2020 00:00;29.56
07-07-2020 01:00;28.54
07-07-2020 02:00;27.96
07-07-2020 03:00;27.3
07-07-2020 04:00;27.15
07-07-2020 05:00;27.9
07-07-2020 06:00;33.83
07-07-2020 07:00;37.65
07-07-2020 08:00;37.2
07-07-2020 09:00;34.87
07-07-2020 10:00;30.82
07-07-2020 11:00;27.99
07-07-2020 12:00;27.73
07-07-2020 13:00;24.98
07-07-2020 14:00;24.36
07-07-2020 15:00;24.8
07-07-2020 16:00;25.18
07-07-2020 17:00;30.48
07-07-2020 18:00;38.48
07-07-2020 19:00;40.78
07-07-2020 20:00;40.84
07-07-2020 21:00;40.1
07-07-2020 22:00;40.15
07-07-2020 23:00;37
08-07-2020 00:00;35.93
08-07-2020 01:00;31.05
08-07-2020 02:00;30.41
08-07-2020 03:00;29.92
08-07-2020 04:00;29.55
08-07-2020 05:00;30.3
08-07-2020 06:00;36.98
08-07-2020 07:00;43
08-07-2020 08:00;47
08-07-2020 09:00;46.2
08-07-2020 10:00;44.44
08-07-2020 11:00;44.71
08-07-2020 12:00;42.02
08-07-2020 13:00;41.09
08-07-2020 14:00;40.2
08-07-2020 15:00;39.99
08-07-2020 16:00;40.02
08-07-2020 17:00;45.05
