Time;EUA_CO2 [Euro/t]
01-07-2020 00:00;27.63
02-07-2020 00:00;27.38
03-07-2020 00:00;27.23
04-07-2020 00:00;27.23
05-07-2020 00:00;27.23
06-07-2020 00:00;29.2
07-07-2020 00:00;29.29
08-07-2020 00:00;28.26
09-07-2020 00:00;28.5
10-07-2020 00:00;28.85
11-07-2020 00:00;28.85
12-07-2020 00:00;28.85
13-07-2020 00:00;29.19
14-07-2020 00:00;29.35
15-07-2020 00:00;28.86
16-07-2020 00:00;26.4
17-07-2020 00:00;27.59
18-07-2020 00:00;27.59
19-07-2020 00:00;27.59
20-07-2020 00:00;26.05
21-07-2020 00:00;26.11
22-07-2020 00:00;26.35
23-07-2020 00:00;26.62
24-07-2020 00:00;26.31
25-07-2020 00:00;26.31
26-07-2020 00:00;26.31
27-07-2020 00:00;24.91
28-07-2020 00:00;25.64
29-07-2020 00:00;26.07
30-07-2020 00:00;25.31
31-07-2020 00:00;26.32
01-08-2020 00:00;26.32
02-08-2020 00:00;26.32
03-08-2020 00:00;25.91
04-08-2020 00:00;26.35
05-08-2020 00:00;26.75
06-08-2020 00:00;26.28
07-08-2020 00:00;26.47
08-08-2020 00:00;26.47
09-08-2020 00:00;26.47
10-08-2020 00:00;26.55
11-08-2020 00:00;26.16
12-08-2020 00:00;25.75
13-08-2020 00:00;25.38
14-08-2020 00:00;25.45
15-08-2020 00:00;25.45
16-08-2020 00:00;25.45
17-08-2020 00:00;26.31
18-08-2020 00:00;26.32
19-08-2020 00:00;26.43
20-08-2020 00:00;25.78
21-08-2020 00:00;25.5
22-08-2020 00:00;25.5
23-08-2020 00:00;25.5
24-08-2020 00:00;27.05
25-08-2020 00:00;28.57
26-08-2020 00:00;28.7
27-08-2020 00:00;28.81
28-08-2020 00:00;29.68
29-08-2020 00:00;29.68
30-08-2020 00:00;29.68
31-08-2020 00:00;28.89
01-09-2020 00:00;27.7
02-09-2020 00:00;27.75
03-09-2020 00:00;28.67
04-09-2020 00:00;27.29
05-09-2020 00:00;27.29
06-09-2020 00:00;27.29
07-09-2020 00:00;26.81
08-09-2020 00:00;26.78
09-09-2020 00:00;26.9
10-09-2020 00:00;27.8
11-09-2020 00:00;28.25
12-09-2020 00:00;28.25
13-09-2020 00:00;28.25
14-09-2020 00:00;29.1
15-09-2020 00:00;29.9
16-09-2020 00:00;29.38
17-09-2020 00:00;28.52
18-09-2020 00:00;27.9
19-09-2020 00:00;27.9
20-09-2020 00:00;27.9
21-09-2020 00:00;26.37
22-09-2020 00:00;25.93
27-10-2020 00:00;23.91
28-10-2020 00:00;23.14
29-10-2020 00:00;23.23
30-10-2020 00:00;23.69
31-10-2020 00:00;23.69
01-11-2020 00:00;23.69
02-11-2020 00:00;23.22
03-11-2020 00:00;24.5
04-11-2020 00:00;24.61
05-11-2020 00:00;26.02
06-11-2020 00:00;25.41
07-11-2020 00:00;25.41
08-11-2020 00:00;25.41
09-11-2020 00:00;25.8
10-11-2020 00:00;26.16
11-11-2020 00:00;26.5
12-11-2020 00:00;25.81
13-11-2020 00:00;26.23
14-11-2020 00:00;26.23
15-11-2020 00:00;26.23
16-11-2020 00:00;27.23
17-11-2020 00:00;26.62
18-11-2020 00:00;27.31
19-11-2020 00:00;26.4
20-11-2020 00:00;26.75
21-11-2020 00:00;26.75
22-11-2020 00:00;26.75
23-11-2020 00:00;27.26
24-11-2020 00:00;27.67
25-11-2020 00:00;27.62
26-11-2020 00:00;28.14
27-11-2020 00:00;28.18
28-11-2020 00:00;28.18
29-11-2020 00:00;28.18
30-11-2020 00:00;29.14
01-12-2020 00:00;28.86
02-12-2020 00:00;29.56
03-12-2020 00:00;28.99
04-12-2020 00:00;30.05
05-12-2020 00:00;30.05
06-12-2020 00:00;30.05
07-12-2020 00:00;29.65
08-12-2020 00:00;29.65
09-12-2020 00:00;29.7
10-12-2020 00:00;30.9
11-12-2020 00:00;30.7
12-12-2020 00:00;30.7
13-12-2020 00:00;30.7
14-12-2020 00:00;31.06
15-12-2020 00:00;31.99
16-12-2020 00:00;31.5
17-12-2020 00:00;31.8
18-12-2020 00:00;30.89
19-12-2020 00:00;30.89
20-12-2020 00:00;30.89
21-12-2020 00:00;30.6
22-12-2020 00:00;31.15
23-12-2020 00:00;31.8
24-12-2020 00:00;31.77
25-12-2020 00:00;31.77
26-12-2020 00:00;31.77
27-12-2020 00:00;31.77
28-12-2020 00:00;33.03
29-12-2020 00:00;32.75
30-12-2020 00:00;32.75
31-12-2020 00:00;32.75
01-01-2021 00:00;32.75
02-01-2021 00:00;32.75
03-01-2021 00:00;32.75
04-01-2021 00:00;33.74
05-01-2021 00:00;32.8
06-01-2021 00:00;33.54
07-01-2021 00:00;34.5
08-01-2021 00:00;34.3
09-01-2021 00:00;34.3
10-01-2021 00:00;34.3
11-01-2021 00:00;34.3
12-01-2021 00:00;34.55
13-01-2021 00:00;33.36
14-01-2021 00:00;33.47
15-01-2021 00:00;31.67
16-01-2021 00:00;31.67
17-01-2021 00:00;31.67
18-01-2021 00:00;31.64
22-02-2021 00:00;36.75
23-02-2021 00:00;37.5
24-02-2021 00:00;38.29
25-02-2021 00:00;38.5
26-02-2021 00:00;37.45
27-02-2021 00:00;37.45
28-02-2021 00:00;37.45
01-03-2021 00:00;37.42
02-03-2021 00:00;37.61
03-03-2021 00:00;37.16
04-03-2021 00:00;36.7
05-03-2021 00:00;37.9
06-03-2021 00:00;37.9
07-03-2021 00:00;37.9
08-03-2021 00:00;38.8
09-03-2021 00:00;40.57
