Time;THE_DA_Gas [Euro/MWh]
21-07-2020 00:00;4.929
22-07-2020 00:00;4.911
23-07-2020 00:00;4.89
24-07-2020 00:00;4.899
25-07-2020 00:00;5.075
26-07-2020 00:00;5.075
27-07-2020 00:00;4.533
28-07-2020 00:00;4.852
15-09-2020 00:00;9.844
16-09-2020 00:00;10.53
17-09-2020 00:00;10.678
18-09-2020 00:00;10.47
19-09-2020 00:00;9.825
20-09-2020 00:00;10.475
21-09-2020 00:00;10.777
22-09-2020 00:00;11.277
10-11-2020 00:00;13.887
11-11-2020 00:00;13.552
12-11-2020 00:00;13.566
13-11-2020 00:00;13.472
14-11-2020 00:00;13.472
15-11-2020 00:00;13.625
16-11-2020 00:00;13.962
17-11-2020 00:00;13.38
05-01-2021 00:00;17.572
06-01-2021 00:00;17.203
07-01-2021 00:00;18.963
08-01-2021 00:00;19.728
09-01-2021 00:00;20.275
10-01-2021 00:00;20.6
11-01-2021 00:00;21.928
12-01-2021 00:00;25.957
02-03-2021 00:00;16.301
03-03-2021 00:00;16.384
04-03-2021 00:00;16.764
05-03-2021 00:00;17.295
06-03-2021 00:00;17.125
07-03-2021 00:00;17.85
08-03-2021 00:00;17.262
09-03-2021 00:00;17.723
27-04-2021 00:00;22.031
28-04-2021 00:00;21.824
29-04-2021 00:00;22.925
30-04-2021 00:00;23.715
01-05-2021 00:00;23.715
02-05-2021 00:00;23.9
03-05-2021 00:00;24.45
04-05-2021 00:00;23.986
22-06-2021 00:00;30.916
23-06-2021 00:00;31.63
24-06-2021 00:00;31.775
25-06-2021 00:00;31.976
26-06-2021 00:00;31.976
27-06-2021 00:00;32.175
28-06-2021 00:00;32.067
29-06-2021 00:00;33.293
17-08-2021 00:00;46.223
18-08-2021 00:00;44.672
19-08-2021 00:00;39.769
20-08-2021 00:00;41.262
21-08-2021 00:00;41.2
22-08-2021 00:00;41.65
23-08-2021 00:00;41.606
24-08-2021 00:00;44.9
12-10-2021 00:00;85.413
13-10-2021 00:00;91.862
14-10-2021 00:00;100.665
15-10-2021 00:00;91.027
16-10-2021 00:00;91.925
17-10-2021 00:00;89.7
18-10-2021 00:00;88.443
19-10-2021 00:00;85.523
07-12-2021 00:00;96.102
08-12-2021 00:00;103.959
09-12-2021 00:00;101.779
10-12-2021 00:00;106.089
11-12-2021 00:00;107.95
12-12-2021 00:00;109.1
13-12-2021 00:00;116.703
14-12-2021 00:00;128.005
01-02-2022 00:00;75.829
02-02-2022 00:00;77.044
03-02-2022 00:00;79.708
04-02-2022 00:00;82.251
05-02-2022 00:00;83.4
06-02-2022 00:00;82.3
07-02-2022 00:00;78.584
08-02-2022 00:00;77.192
29-03-2022 00:00;107.793
30-03-2022 00:00;116.444
31-03-2022 00:00;125.612
01-04-2022 00:00;112.089
02-04-2022 00:00;121.5
03-04-2022 00:00;113.7
04-04-2022 00:00;111.199
05-04-2022 00:00;108.533
24-05-2022 00:00;79.417
25-05-2022 00:00;80.656
26-05-2022 00:00;81.73
27-05-2022 00:00;83.448
28-05-2022 00:00;84.6
29-05-2022 00:00;90.75
30-05-2022 00:00;87.695
31-05-2022 00:00;86.906
19-07-2022 00:00;151.876
20-07-2022 00:00;153.834
21-07-2022 00:00;156.0
22-07-2022 00:00;159.207
23-07-2022 00:00;170.0
24-07-2022 00:00;163.075
25-07-2022 00:00;176.356
26-07-2022 00:00;202.577
13-09-2022 00:00;197.816
14-09-2022 00:00;216.423
15-09-2022 00:00;201.044
16-09-2022 00:00;165.827
17-09-2022 00:00;151.125
18-09-2022 00:00;152.5
19-09-2022 00:00;164.136
20-09-2022 00:00;174.765
08-11-2022 00:00;90.726
09-11-2022 00:00;88.837
10-11-2022 00:00;75.806
11-11-2022 00:00;67.634
12-11-2022 00:00;83.95
13-11-2022 00:00;91.0
14-11-2022 00:00;108.017
15-11-2022 00:00;116.158
03-01-2023 00:00;68.881
04-01-2023 00:00;63.114
05-01-2023 00:00;67.036
06-01-2023 00:00;63.824
07-01-2023 00:00;66.0
08-01-2023 00:00;66.44
09-01-2023 00:00;72.41
10-01-2023 00:00;66.857
28-02-2023 00:00;48.315
01-03-2023 00:00;49.092
02-03-2023 00:00;48.326
03-03-2023 00:00;47.2
04-03-2023 00:00;48.25
05-03-2023 00:00;48.4
06-03-2023 00:00;44.029
07-03-2023 00:00;45.615
25-04-2023 00:00;40.948
26-04-2023 00:00;39.935
27-04-2023 00:00;39.655
28-04-2023 00:00;39.262
29-04-2023 00:00;37.9
30-04-2023 00:00;37.025
01-05-2023 00:00;39.262
02-05-2023 00:00;38.0
03-05-2023 00:00;37.071
04-05-2023 00:00;35.663
